"Story","Title","Result","Date","Stability","Duration (s)"
"Admin area flows","Open admin dashboard and verify widgets","SUCCESS","2025-11-19T08:55:06.0020124-05:00[America/Bogota]","0.0","31.81"
"Admin area flows","Open users management and verify listing","ERROR","2025-11-19T08:55:37.8873237-05:00[America/Bogota]","0.0","20.99"
"Admin area flows","Open services management and verify listing","ERROR","2025-11-19T08:55:59.2239522-05:00[America/Bogota]","0.0","37.83"
"Admin area flows","Open invoices management and verify listing","ERROR","2025-11-19T08:56:37.1131699-05:00[America/Bogota]","0.0","32.15"
"Admin area flows","Open reports management and verify that reports are accessible","SUCCESS","2025-11-19T08:57:09.3561757-05:00[America/Bogota]","0.0","22.69"
"Admin area - create resources","Create a new user from admin UI","SUCCESS","2025-11-26T18:12:11.2373695-05:00[America/Bogota]","0.0","50.54"
"Admin area - create resources","Create a new service from admin UI","SUCCESS","2025-11-26T18:13:01.9013333-05:00[America/Bogota]","0.0","40.86"
"Admin area - create resources","Create a service and change its status to en_proceso","SUCCESS","2025-11-26T18:13:42.9377376-05:00[America/Bogota]","0.0","46.6"
"Admin area - create resources","Create a service and change its status to ""completado""","SUCCESS","2025-11-26T18:14:29.5684742-05:00[America/Bogota]","0.0","49.69"
"Admin area - create resources","Create a service and change its status to ""cancelado""","PENDING","2025-11-26T18:15:19.3191759-05:00[America/Bogota]","0.0","0.05"
"Admin area - create resources","Create a service and change its status to ""pendiente""","SUCCESS","2025-11-26T18:15:19.4470265-05:00[America/Bogota]","0.0","96.1"
"Login and Report Progress","Complete technician workflow from login to report","ERROR","2025-11-25T19:49:37.3039958-05:00[America/Bogota]","0.0","13.29"
"Login and Report Progress","Update technician profile","ERROR","2025-11-25T19:49:50.6224571-05:00[America/Bogota]","0.0","0.08"
"End-user (Usuario) flows","Add an appliance and request a service for it","SUCCESS","2025-11-18T21:06:07.3124628-05:00[America/Bogota]","0.0","7.53"
"End-user (Usuario) flows","Update user profile from profile modal","SUCCESS","2025-11-25T19:49:50.9015729-05:00[America/Bogota]","0.0","25.16"
"End-user (Usuario) flows","Create service using the public service form","SUCCESS","2025-11-25T19:50:16.0839438-05:00[America/Bogota]","0.0","15.5"
"End-user (Usuario) flows","Add a new appliance from the appliances section","SUCCESS","2025-11-25T19:50:31.6088326-05:00[America/Bogota]","0.0","17.62"
