"Story","Title","Result","Date","Stability","Duration (s)"
"Login en la aplicación Electromovil","Inicio de sesión exitoso en Electromovil","SUCCESS","2025-11-03T13:53:47.5261764-05:00[America/Bogota]","0.0","43.14"
"Login en la aplicación Electromovil","Inicio de sesión fallido en Electromovil","SUCCESS","2025-11-03T13:54:31.7864597-05:00[America/Bogota]","0.0","7.58"
"Gestión de servicios técnicos","Solicitar un nuevo servicio técnico","PENDING","2025-11-03T13:54:39.7600557-05:00[America/Bogota]","0.0","0.29"
"Gestión de servicios técnicos","Ver historial de servicios","PENDING","2025-11-03T13:54:40.0790065-05:00[America/Bogota]","0.0","0.15"
"Gestión de servicios técnicos","Cancelar un servicio pendiente","PENDING","2025-11-03T13:54:40.2476693-05:00[America/Bogota]","0.0","0.17"
"Panel de Administración","Gestionar usuarios","PENDING","2025-11-03T13:54:40.4655164-05:00[America/Bogota]","0.0","0.19"
"Panel de Administración","Asignar técnico a servicio","PENDING","2025-11-03T13:54:40.6775182-05:00[America/Bogota]","0.0","0.15"
"Panel de Administración","Ver reportes de servicios","PENDING","2025-11-03T13:54:40.8567753-05:00[America/Bogota]","0.0","0.28"
"Gestión del perfil de usuario","Actualizar información personal","PENDING","2025-11-03T13:54:41.1817457-05:00[America/Bogota]","0.0","0.17"
"Gestión del perfil de usuario","Cambiar contraseña","PENDING","2025-11-03T13:54:41.374817-05:00[America/Bogota]","0.0","0.17"
"Gestión del perfil de usuario","Visualizar electrodomésticos registrados","PENDING","2025-11-03T13:54:41.575332-05:00[America/Bogota]","0.0","0.13"
"Registro de usuarios en Electromovil","Registro exitoso de un nuevo usuario","PENDING","2025-11-03T13:54:41.7479061-05:00[America/Bogota]","0.0","0.15"
"Registro de usuarios en Electromovil","Registro fallido por contraseñas que no coinciden","PENDING","2025-11-03T13:54:41.9274437-05:00[America/Bogota]","0.0","0.11"
"Registro de usuarios en Electromovil","Registro fallido por email ya registrado","PENDING","2025-11-03T13:54:42.066918-05:00[America/Bogota]","0.0","0.12"
"Envío de formulario para servicio en la página ElectroElite","Envío exitoso del formulario de solicitud de servicio","PENDING","2025-11-03T13:54:42.2281632-05:00[America/Bogota]","0.0","0.2"
"Gestión de servicios y electrodomésticos por el usuario (cliente)","Solicitar un servicio técnico","SUCCESS","2025-11-03T13:54:42.4821966-05:00[America/Bogota]","0.0","27.38"
"Gestión de servicios y electrodomésticos por el usuario (cliente)","Añadir un nuevo electrodoméstico","SUCCESS","2025-11-03T13:55:10.1737887-05:00[America/Bogota]","0.0","31.73"
